facility_name,facility_type,full_address,latitude,longitude
Kootenay Street Village,Other,"620, kootenay st n, cranbrook, bc, V1C 3T9",49.518325899999994,-115.758538
Kopernik Lodge,Other,"3150, rosemont dr, vancouver, bc, V5S 2C9",49.21522,-123.039
Kwantlen Medical Clinic,Clinic,"12818, 72 avenue, surrey, bc, V3W 2M9",49.13365,-122.867417
LA ROSA DE MATSQUI,Other,"28711, huntingdon rd, abbotsford, bc, V4X 1A8",49.017373,-122.428874
Ladner 1,Other,"5281, westminster ave, delta, bc, V4K 2J4",49.099275,-123.0760699
Lady Minto Gulf Islands Hospital,Hospital,"135, crofton rd, salt spring island, bc, V8K 1T1",48.861445200000006,-123.5085986
Dr. Cooke Extended Care Centre,Other,"3915, 56 avenue, lloydminster, ab, T9V 1N9",53.273049,-110.019164
Ladysmith Community Health Centre,Hospital,"1111, 4 ave, ladysmith, bc, V9G 1A1",48.9957415,-123.8276344
Lake Country Family Practice,Clinic,"9966, pollard road, lake country, bc, V4V 1V7",50.025931,-119.405559
Lake Country Lodge,Other,"10163, konschuh road, lake country, bc, V4V 2M2",50.029143500000004,-119.3984578
Lakes District Hospital and Health Centre,Hospital,"741, centre st, burns lake, bc, V0J 1E0",54.23562679999999,-125.76126229999998
Lakes Road Home,Other,"6284, lakes rd, duncan, bc, V9L 4S6",48.798968,-123.69182
Lakeshore Medical Centre,Clinic,"2280, baron road, kelowna, bc, V1X 7W3",49.881024,-119.431768
Lakeside House,Other,"3597, gladstone st, vancouver, bc, V5N 4Y8",49.250461,-123.0604877
Lakeview Lodge,Other,"2337, butt road, west kelowna, bc, V4T 3L3",49.83701729999999,-119.6237769
Lamton Home,Other,"650, middleton way, coldstream, bc, V1B 2V5",50.2318418,-119.2547159
Lands End Home,Other,"1995, lands end rd, north saanich, bc, V8L 5J2",48.68585,-123.41694
Langley Gardens,Other,"8888, 202 st, langley, bc, V1M 4A7",49.1663494,-122.6609691
Langley Lodge,Other,"5451, 204 st, langley, bc, V3A 5M9",49.10156729999999,-122.6573035
Langley Memorial Hospital,Hospital,"22051, fraser hwy, langley, bc, V3A 4H4",49.0952999,-122.612079
Langton Road,Other,"7611, langton rd, richmond, bc, V7C 4B4",49.1570209,-123.1606944
Lannan Road Residence,Other,"2046, lannan rd, comox, bc, V9M 3Z6",49.7086633,-124.9362404
Lansdowne Treatment Centre,Clinic,"120-1641, hillside avenue, victoria, bc, V8T 5G1",48.445104,-123.334011
Larkin House,Other,"2583, larkin ave, port coquitlam, bc, V3B 2H8",49.277786,-122.7851203
Larkspur House,Other,"1310, larkspur ave, port coquitlam, bc, V3B 1G7",49.2660077,-122.7510197
Last Door Recovery Centre,Other,"323, 8 st, new westminster, bc, V3M 3R3",49.2078235,-122.9191564
Laurel Place Care Centre,Other,"9688, 137a st, surrey, bc, V3T 4H9",49.1784188,-122.8417804
Leaside Place,Other,"1807, e 64 ave, vancouver, bc, V5P 2M9",49.2121813,-123.068935
Leonard Place,Other,"4761, leonard pl, prince george, bc, V2M 6Z5",53.938607999999995,-122.81031000000002
Lillooet District Hospital and Health Centre,Hospital,"951, murray st, lillooet, bc, V0K 1V0",50.690014,-121.9387906
Lindsay Home,Other,"754, lindsay st, victoria, bc, V8Z 3E1",48.4911471,-123.3952548
Lions Gate Hospital,Hospital,"231, east 15 st, north vancouver, bc, V7L 2L7",49.32186420000001,-123.06837009999998
Drayton Valley Hospital & Care Centre,Hospital,"4550, madsen ave, drayton valley, ab, T7A 1N8",53.211841,-114.969193
Lisgar Residence,Other,"2471, lisgar cres, prince george, bc, V2N 1C4",53.897987,-122.79234
"Little Mountain Manor, Inc.",Other,"959, little mountain rd, parksville, bc, V9P 2C3",49.298621,-124.33023
Little Mountain Place,Other,"330, e 36 ave, vancouver, bc, V5W 3Z4",49.2376636,-123.0998532
Live Well Medical Centre,Clinic,"160-8980, no 3 road, richmond, bc, V6Y 2E8",49.148846,-123.136661
Lonsdale Medical Clinics,Clinic,"108-1940, lonsdale avenue n, vancouver, bc, V7M 2K2",49.327193,-123.071945
Loraine Avenue,Other,"3908, loraine ave, north vancouver, bc, V7R 4B8",49.34458729999999,-123.1065884
Louis Brier Home,Other,"1055, w 41 ave, vancouver, bc, V6M 1W9",49.23448,-123.129
Loyal Medical Clinic,Clinic,"112-1055, west georgia street, vancouver, bc, V6E 3P1",49.285409,-123.12195
Lucas Home,Other,"909, lucas ave, victoria, bc, V8X 4M7",48.477996999999995,-123.373936
Luther Court,Other,"1525, cedar hill x rd, victoria, bc, V8P 5M1",48.4619202,-123.3364271
Luxton Home,Other,"3522, luxton rd, victoria, bc, V9C 0K6",48.419041,-123.5341518
Lynn Valley Care Centre,Other,"1070, lynn valley road, north vancouver, bc, V7J 1Z8",49.33396,-123.045
Lynn Valley House,Other,"1525/1527, lynn valley road, north vancouver, bc, V7J 2B1",49.340396000000005,-123.0310686
Lynn Valley Medical and Travel Clinic,Clinic,"102-1200, lynn valley road, north vancouver, bc, V7J 2A2",49.33592,-123.0412
Lynndale Lodge,Other,"4820, 10 ave sw, salmon arm, bc, V1E 3B5",50.6919774,-119.340954
Drumheller Health Centre,Hospital,"351, 9 st nw, drumheller, ab, T0J 0Y1",51.4698073,-112.7259344
m.s.a. Manor,Other,"2510, gladwin rd, abbotsford, bc, V2T 3N9",49.0475442,-122.3144389
Mackenzie and District Hospital and Health Centre,Hospital,"45, centennial dr, mackenzie, bc, V0J 2C0",55.3375782,-123.100648
Maginnis Avenue,Other,"3660, maginnis avenue n, vancouver, bc, V7K 2L6",49.342687100000006,-123.034142
Magnolia Gardens,Other,"5840, glover rd, langley, bc, V3A 9K3",49.10824470000001,-122.6494693
Magnolia House,Other,"720, e 17 st, north vancouver, bc, V7L 2W8",49.3242484,-123.0538386
Main Street Home,Other,"5760, main street, oliver, bc, V0H 1T0",49.173072999999995,-119.5552406
Mainwaring,Other,"8950, mainwaring rd, north saanich, bc, V8L 1J7",48.624970899999994,-123.4154788
Malaspina Residence,Other,"2028, cedar cres, courtenay, bc, V9N 3B6",49.678687700000005,-124.9927014
Manchenda Medical Clinic,Clinic,"7550, king george boulevard, surrey, bc, V3W 2T2",49.13988,-122.8432
Mango Medical Clinic,Clinic,"4392, beresford street, burnaby, bc, V5H 0E7",49.226057,-123.005725
Manning House,Other,"1560, manning ave, port coquitlam, bc, V3B 1K5",49.2680766,-122.7578008
Manoah Manor,Other,"20265, 54a ave, langley city, bc, V3A 3W6",49.101831,-122.6608587
Manuel House,Other,"1709, 232 st, langley, bc, V2Z 1K7",49.032664,-122.58322
Maple Medical Clinic,Clinic,"103-2025, west broadway, vancouver, bc, V6J 1Z6",49.263853999999995,-123.151159
Maple Ridge House,Other,"12210, 232a st, maple ridge, bc, V2X 0R2",49.2245369,-122.57835520000002
Maple Ridge Seniors Village,Other,"22141, 119 ave, maple ridge, bc, V2X 2Y7",49.2193789,-122.6084592
Maple Ridge Treatment Centre,Other,"22269, callaghan ave, maple ridge, bc, V2X 2E2",49.2137785,-122.6051618
Maple Street Residence,Other,"5537, maple st, port alberni, bc, V9Y 8H4",49.2711362,-124.8084067
Maplewood House,Other,"1919, jackson st, abbotsford, bc, V2S 2Z8",49.036607200000006,-122.3091484
Marchmont House,Other,"739, marchmont rd, duncan, bc, V9L 2L9",48.7770977,-123.6935153
Marchmont Place,Other,"6124, ryall rd, duncan, bc, V9L 2H7",48.793073,-123.72443
Marin Park,Other,"1166, marin park dr, brentwood bay, bc, V8M 1E8",48.5714564,-123.45134070000002
Marine Gateway Medical Clinic,Clinic,"301-470, sw marine drive, vancouver, bc, V5X 0C4",49.210379,-123.11683
Mariposa,Other,"4133, mariposa heights, victoria, bc, V8Z 6P5",48.478199,-123.41418
Mariposa Court,Other,"3419, mariposa court, kelowna, bc, V1X 2S9",49.8590963,-119.4391121
Mariposa Gardens,Other,"8816, 97 st, osoyoos, bc, V0H 1V5",49.034727,-119.47705829999998
Marjorie Willoughby Snowden Memorial Hospice Home,Other,"72, whiteshield crescent s, kamloops, bc, V2E 2S9",50.6588194,-120.3374527
Mary Basil House,Other,"2001, industrial rd, cranbrook, bc, V1C 6H3",49.5249786,-115.7686075
Edson Healthcare Centre,Hospital,"4716, 5 ave, edson, ab, T7E 1S8",53.59182,-116.407
Maryland House,Other,"9496, maryland dr, sidney, bc, V8L 2R6",48.6401829,-123.4063757
Masset Hospital,Hospital,"1760, hodges, masset, bc, V0T 1M0",54.0204495,-132.157076
Matters of Health Medical Clinic,Clinic,"5591, west boulevard, vancouver, bc, V6M 3W6",49.235586,-123.155556
Maxey Road Home,Other,"2278, maxey rd, nanaimo, bc, V9S 5V5",49.185127,-124.00326
May's Place,Other,"333, powell st, vancouver, bc, V6A 1G5",49.28324,-123.097
Mayfair (the),Other,"33433, marshall rd, abbotsford, bc, V2S 1K8",49.039494,-122.2976893
Mcarthur Home,Other,"794-796, mcarthur drive, kamloops, bc, V2B 8L9",50.7625069,-120.3482057
Mcbride and District Hospital,Hospital,"594, king st, mcbride, bc, V0J 2E0",53.30163979999999,-120.1608281
Mcbride Place,Other,"878, mcbride street, kamloops, bc, V2B 5S3",50.70294570000001,-120.4107315
Elk Point Healthcare Centre,Hospital,"5310, 50 ave, elk point, ab, T0A 1A0",53.8969745,-110.9058049
Mccauley Lodge,Other,"1037, lyall st, victoria, bc, V9A 5G1",48.426921,-123.4064
Mcculloch Residence,Other,"5500, mcculloch rd, kelowna, bc, V1W 4G1",49.83961179999999,-119.3486466
Mckenzie Home,Other,"1112, mckenzie st, victoria, bc, V8V 2W2",48.415158899999994,-123.3554095
Mckim Cottage,Other,"916, eleventh st, nelson, bc, V1L 7A6",49.508589,-117.267255
Mcqueen House,Other,"2831, muir rd, courtenay, bc, V9N 6A2",49.7107401,-124.9852203
Md Medical Centre,Clinic,"3020, louie drive, west kelowna, bc, V4T 3E1",49.83547,-119.6209
Meadowbrook,Other,"12412, meadowbrook pl, maple ridge, bc, V4R 2H6",49.2279307,-122.635215
Medi-Kel,Clinic,"1715, ellis street, kelowna, bc, V1Y 8M9",49.883419,-119.493432
Medical Arts Centre,Clinic,"103-650, south terminal avenue, nanaimo, bc, V9R 5E2",49.16431,-123.9333
Medusa Street Residence,Other,"5832, medusa street, sechelt, bc, V0N 3A3",49.4749989,-123.7650971
Mega Fu Medical,Clinic,"9251, alderbridge way, richmond, bc, V6X 0N1",49.178089,-123.119861
Melody House,Other,"1730, macdonald st, vancouver, bc, V6K 3X8",49.270557,-123.1681564
Menno Extended Care Hospital,Other,"32945, marshall rd, abbotsford, bc, V2S 1K1",49.0384349,-122.31174140000002
Menno Place - Menno Home,Other,"32910, brundige ave, abbotsford, bc, V2S 1N2",49.03968,-122.311293
Mentmore,Other,"523, mentmore st, coquitlam, bc, V3J 4P5",49.250387200000006,-122.8702195
Mercy Canada,Other,"19465, 16 ave, surrey, bc, V3Z 9V2",49.032142,-122.68423500000002
Mercy Medical Clinic,Clinic,"7155, 120 street, delta, bc, V4E 2B1",49.132875,-122.892594
Mid-Main Community Health Centre,Clinic,"3998, main street, vancouver, bc, V5V 3P2",49.249493,-123.100611
Middleton House,Other,"10306, middleton dr, vernon, bc, V1T 2K6",50.236328,-119.237596
Mile Zero Clinic,Clinic,"121-10200, 8 street, dawson creek, bc, V1G 3P8",55.757051,-120.222749
Milford,Other,"2575, milford rd, campbell river, bc, V9W 5H3",49.9676849,-125.235307
Milford Home,Other,"10420, milford dr, richmond, bc, V7A 4J7",49.139108,-123.1151772
Mill Lake Residence,Other,"33056, mill lake rd, abbotsford, bc, V2S 2A3",49.04811779999999,-122.3077854
Millers Way,Other,"7710, 15 ave, burnaby, bc, V3N 1W5",49.220594,-122.935316
Millgrove Home,Other,"3028, millgrove st, victoria, bc, V9A 1X5",48.448569,-123.3931465
Mills Memorial Hospital,Hospital,"4720, haugland ave, terrace, bc, V8G 2W7",54.510203,-128.596541
Mimi's House,Other,"1631, earlston ave, victoria, bc, V8P 2Z6",48.46396,-123.33049
Mina Care Home,Other,"1061, mina ave, victoria, bc, V8Z 6P8",48.467004,-123.41149
Minoru Residence,Other,"7333, gollner ave, richmond, bc, V6Y 1Y4",49.16897,-123.15
Mission Creek Landing Ltd.,Other,"3081, hall rd, kelowna, bc, V1W 2R5",49.8715375,-119.4282439
Mission Hills Medical Clinic,Clinic,"107-32471, lougheed highway, mission, bc, V2V 0C8",49.133002000000005,-122.32574
Mission Medical Centre,Clinic,"102-3320, richter street, kelowna, bc, V1W 4V5",49.85784,-119.4897
Mission Memorial Hospital,Hospital,"7324, hurd st, mission, bc, V2V 3H5",49.1351173,-122.3326872
Monashee Mews,Other,"2165, norris ave, lumby, bc, V0E 2G0",50.2498936,-118.9617267
Montgomery House,Other,"227, montgomery st, coquitlam, bc, V3K 5E7",49.2368532,-122.8392463
Moog and Friends Hospice House,Other,"1701, government st, penticton, bc, V2A 8J7",49.481517,-119.575713
Morgan Place,Other,"3288, 156a st, surrey, bc, V3Z 9T1",49.062332,-122.790069
Moss Rock Medical Centre,Clinic,"1282, fairfield road, victoria, bc, V8V 4W3",48.415738,-123.349207
Mount Ida Medical Centre,Clinic,"200, trans canada highway sw, salmon arm, bc, V1E 1V4",50.699561,-119.287604
Mount Ida Mews,Other,"100, 5 ave se, salmon arm, bc, V1E 4H4",50.696003000000005,-119.28418
Mount Nelson Place,Other,"750, 6 avenue, invermere, bc, V0A 1K0",50.507667,-116.0282627
Mount Seymour Medical Clinic,Clinic,"333, seymour boulevard, north vancouver, bc, V7J 2J4",49.311582,-123.024409
Mount Seymour Parkway House,Other,"3403, mt seymour pkwy, north vancouver, bc, V7H 1G4",49.3153534,-122.9773545
Mount Tolmie Hospital,Other,"3690, richmond rd, victoria, bc, V8P 4R6",48.459924,-123.330454
Mountain Lake Seniors Community Ltd.,Other,"908, 11 street, nelson, bc, V1L 7A6",49.508215,-117.265992
Mountain View,Other,"470, middleton way, vernon, bc, V1B 3Z7",50.2325339,-119.2424448
Mountain View Home,Other,"5133, boundary rd, abbotsford, bc, V3G 2N4",49.0955257,-122.0814539
Mountain View Lodge,Other,"951, murray street, lillooet, bc, V0K 1V0",50.6892622,-121.9389613
Mountain View Lodge Complex & Long Term Care Unit,Other,"920, lahakas blvd, kitimat, bc, V8C 2S3",54.050267000000005,-128.65618
Mountainview Group Home,Other,"4195, jingle pot rd, nanaimo, bc, V9T 5P7",49.206446,-124.02689
Mt. Cartier Court,Other,"1200, newlands rd, revelstoke, bc, V0E 2S0",50.977361,-118.191795
Mulberry Place,Other,"2803, 39 st, vernon, bc, V1T 6J3",50.2628808,-119.2869228
Mundy Street Residence,Other,"316, mundy st, coquitlam, bc, V3K 5M4",49.2400763,-122.8345635
Murals Medical Clinic,Clinic,"100-22314, fraser highway, langley, bc, V3A 8M6",49.090915,-122.606243
Murray House (p.d.s.c.l.),Other,"110, murray dr, penticton, bc, V2A 7E4",49.4684905,-119.5904134
Murrayville Manor,Other,"21616, 46 ave, langley, bc, V3A 3J4",49.085552,-122.624304
Muscroft House,Other,"4433, francis road, richmond, bc, V7C 1J8",49.148604,-123.1746239
Nanaimo Regional General Hospital,Hospital,"1200, dufferin cres, nanaimo, bc, V9S 2B7",49.1849979,-123.969295
Nanaimo Seniors Village,Other,"6085, uplands dr, nanaimo, bc, V9V 1T8",49.236311,-124.03886
Nancy Greene Way,Other,"5793, nancy greene way, north vancouver, bc, V7R 4W4",49.3687958,-123.100531
Nazirah House,Other,"4560, imperial st, burnaby, bc, V5J 1B6",49.2215495,-123.0007978
Nechako Center - Adult,Other,"1308, alward st, prince george, bc, V2M 7B1",53.911018299999995,-122.76638090000002
Nechako Medical Clinic,Clinic,"143-1600, 15 avenue, prince george, bc, V2L 3X3",53.91085,-122.7588
Nelson Avenue,Other,"7077, nelson ave, burnaby, bc, V5J 4B9",49.2192139,-122.9945662
Nelson Avenue Residence,Other,"620, nelson ave, nelson, bc, V1L 2N6",49.50423189999999,-117.2789603
Nelson Jubilee Manor,Other,"500, beasley street w, nelson, bc, V1L 6G9",49.4795674,-117.29899609999998
Nelson Residence,Other,"5534, nelson avenue, powell river, bc, V8A 4C8",49.8660534,-124.5253194
Neville House,Other,"5675, neville st, burnaby, bc, V5J 2J1",49.2141609,-122.9810592
New Britton House,Other,"7478, britton st, burnaby, bc, V3N 3A5",49.216893299999995,-122.9478861
New Greenwood Lodge,Other,"13227, 96 ave, surrey, bc, V3V 1Y5",49.177352,-122.856054
New Pitt Meadows Medical Clinic,Clinic,"12181, harris road, pitt meadows, bc, V3Y 2E9",49.224038,-122.690225
Alberta Hospital Edmonton,Hospital,"17480, fort rd, edmonton, ab, T5J 2J7",53.636387,-113.374023
New Vista Care Home i,Other,"7550, rosewood st, burnaby, bc, V5E 3Z3",49.224288,-122.945653
Newgen Medical Centre,Clinic,"104-6321, king george boulevard, surrey, bc, V3X 1G1",49.117601,-122.845853
Newlands Residence,Other,"20935, 51b ave, langley city, bc, V3A 5W3",49.096571399999995,-122.6436136
Newmarket Drive,Other,"2985, newmarket dr, north vancouver, bc, V7R 2T7",49.3365841,-123.1026853
Newport House,Other,"37948, 3 ave, squamish, bc, V8B 0A7",49.6982341,-123.156384
Ng Nair Place,Other,"23390, 47 ave, langley, bc, V2Z 2S3",49.085938,-122.575843
Nicola Lodge,Other,"2240, hawkins st, port coquitlam, bc, V3B 0M2",49.255787,-122.737523
Nicola Valley Health Centre,Hospital,"3451, voght st, merritt, bc, V1K 1C6",50.121171999999994,-120.772629
Nigel House,Other,"846, nigel ave, victoria, bc, V8X 4E5",48.4580708,-123.3729505
Nikola Road Group Home,Other,"280, nikola rd, campbell river, bc, V9W 6H9",50.011959999999995,-125.28051
Ninety Fifth Avenue House,Other,"15293, 95 ave, surrey, bc, V3R 9C5",49.175215,-122.798434
Ninth Avenue Residence,Other,"2787, ninth ave, port alberni, bc, V9Y 2M6",49.230356,-124.799
No. 5 Road Group Home,Other,"10731, no 5 road, richmond, bc, V7A 4E6",49.1340512,-123.0926533
Nootka Street Residence,Other,"7050, nootka street, powell river, bc, V8A 5E5",49.8209862,-124.5182516
Noric House,Other,"1400, mission rd, vernon, bc, V1T 9C3",50.251193,-119.282587
Normandy House,Other,"575, normandy rd, victoria, bc, V8Z 3J3",48.500240999999995,-123.39167
Normanna Rest Home Ii,Other,"7725, 4 st, burnaby, bc, V3N 5B6",49.2221124,-122.9276938
North Island Hospital Comox Valley,Hospital,"101, lerwick road, courtenay, bc, V9N 0B9",49.713417,-124.970384
North Nanaimo Medical Clinic,Clinic,"6801, north island highway, nanaimo, bc, V9T 6N8",49.237763,-124.051975
North Okanagan Hospice House,Other,"3506, 27 ave, vernon, bc, V1T 1S4",50.261721,-119.281794
North Okanagan Medical Clinic,Clinic,"5001, anderson way, vernon, bc, V1T 9V1",50.28442,-119.2721
North Peace Primary Care Clinic,Clinic,"10011, 96 street, fort st john, bc, V1J 3P3",56.247514,-120.839694
North Shore Hospice,Other,"319, 14 st e, north vancouver, bc, V7L 2N6",49.32073,-123.065
Northcrest Care Centre Ltd.,Other,"6771, 120 st, delta, bc, V4E 2A7",49.126442,-122.8911054
Northern Haida Gwaii Hospital and Health Centre (North End),Hospital,"2520, harrison avenue, masset, bc, V0T 1M0",54.020576,-132.157074
Northern Health Authority,Clinic,"1445, 5 avenue, valemount, bc, V0E 2Z0",52.83176,-119.2739
Northshore Medical Clinic,Clinic,"101-1171, marine drive, north vancouver, bc, V7P 1T1",49.323377,-123.106579
Norwood House,Other,"3636, norwood ave, north vancouver, bc, V7N 3P7",49.3429472,-123.0767595
Oak Bay Lodge,Other,"2251, cadboro bay rd, victoria, bc, V8R 5H3",48.432936,-123.3138
Oak Bay Medical Clinic,Clinic,"101-1640, oak bay avenue, victoria, bc, V8R 1B2",48.426478,-123.334374
Oakland,Other,"6110, sperling ave, burnaby, bc, V5E 2T9",49.2283395,-122.9643356
Ocean Medical,Clinic,"1884, marine drive, west vancouver, bc, V7V 1J6",49.328678,-123.163856
Oceanside Place,Other,"6039, brickyard rd, nanaimo, bc, V9V 1M6",49.235687899999995,-124.0264813
Old Orchard Medical Clinic,Clinic,"924005, kingsway, burnaby, bc, V5H 2A1",49.231407,-123.005129
One Hundred & Forty Three a Street Home,Other,"8689, 143a st, surrey, bc, V3W 0K4",49.160447999999995,-122.8245
One Hundred and Fifty Eight a Street,Other,"10607, 158a st, surrey, bc, V4N 3J2",49.195355600000006,-122.7829494
One Hundred and Fifty Four Street Group Home,Other,"1660, 154 st, surrey, bc, V4A 4R9",49.032257,-122.795417
One Hundred and Thirty First Street Home,Other,"9643, 131 st, surrey, bc, V3T 3P4",49.178018,-122.859968
Onsite Detox and Transitional Housing,Other,"137, e hastings st, vancouver, bc, V6A 1N5",49.2816658,-123.1012105
Onyx House,Other,"1725, pearl st, victoria, bc, V8R 2Z4",48.441832,-123.33275
Orchard Haven,Other,"700, 3 st, keremeos, bc, V0X 1N0",49.204679,-119.833278
Orchard Heights,Other,"5538, chaffey ave, burnaby, bc, V5H 2S2",49.234362700000005,-123.0070684
Orchard Manor at Hawthorn Park,Other,"3221, casorso rd, kelowna, bc, V1Y 3J5",49.8602539,-119.4853353
Orchard Medical Centre,Clinic,"104-1990, cooper road, kelowna, bc, V1Y 8K5",49.877565,-119.443356
Orchard Recovery Center,Other,"811, grafton rd, bowen island, bc, V0N 1G2",49.372131,-123.361
Orchard View Group Home,Other,"3231, 30 st ne, salmon arm, bc, V1E 3L1",50.723292,-119.250892
Orcrest Group Home,Other,"860, orcrest dr, kamloops, bc, V2B 6T2",50.7750076,-120.3438216
Ord Road Group Home,Other,"3510, ord road, kamloops, bc, V2B 8B6",50.715315999999994,-120.46172
Origin at Longwood (Astoria Suites),Other,"6205, oliver rd, nanaimo, bc, V9T 6T1",49.22078,-124.03124
Orillia House,Other,"2965, orillia st, victoria, bc, V9A 1Y6",48.4482137,-123.39593329999998
Oriole House,Other,"1080, holt st, kamloops, bc, V2B 5H2",50.709140600000005,-120.3889523
Oriole Lodge,Other,"32539, oriole cres, abbotsford, bc, V2T 4C7",49.057249600000006,-122.32300390000002
Orion House,Other,"20395, 42 ave, langley, bc, V3A 3A6",49.0785912,-122.6586376
Ospika Residence,Other,"2690, ospika blvd s, prince george, bc, V2N 2L8",53.893632999999994,-122.78843
Osprey Home,Other,"30772, osprey dr, abbotsford, bc, V2T 5J4",49.057665,-122.3712483
Our House,Other,"2620, hoskins road, north vancouver, bc, V7J 3A3",49.3323066,-123.02578090000002
Our Place,Other,"287, e 33 ave, vancouver, bc, V5V 2Z7",49.2407212,-123.09933259999998
Oyster Harbour Seniors Community,Other,"1127, fourth ave, ladysmith, bc, V9G 1A6",48.9966463,-123.8287358
Ozanam House,Other,"2629, richter st, kelowna, bc, V1Y 2R3",49.8667968,-119.4877827
Pacific Medical Clinic,Clinic,"6176, fraser street, vancouver, bc, V5W 3A1",49.2286,-123.090632
Pacifica House,Other,"46110, collins dr, chilliwack, bc, V2R 2G2",49.1262975,-121.9500919
Pacifica Treatment Centre,Other,"1755, e 11 ave, vancouver, bc, V5N 1Y9",49.2607112,-123.0684104
Paddock Home,Other,"124, paddock pl, victoria, bc, V9B 5G1",48.4613659,-123.4394017
Padwick House,Other,"1924, jones avenue n, vancouver, bc, V7M 2W5",49.3267725,-123.0811369
Paisley House,Other,"3091, paisley rd, north vancouver, bc, V7R 1C7",49.336714,-123.198295
Panama House,Other,"4148, carey rd, victoria, bc, V8Z 4G8",48.477019,-123.39917
Panorama Village Medical Clinic,Clinic,"15157, 56 avenue, surrey, bc, V3S 9A5",49.105540000000005,-122.8027
Fairview Health Complex,Hospital,"10628, 110 st, fairview, ab, T0H 1L0",56.070965599999994,-118.3845521
Park and Tilford Medical Treatment Centre,Clinic,"333, brooksbank avenue n, vancouver, bc, V7J 3S8",49.308678,-123.04047
Park Drive Home,Other,"6499, park drive, oliver, bc, V0H 1T4",49.1872754,-119.5418863
Parker Place Medical Clinic,Clinic,"4380, no 3 road, richmond, bc, V6X 3V7",49.18167,-123.1347
Parklandview,Other,"8833, 158 st, surrey, bc, V4N 2Y7",49.163526700000006,-122.7846172
Parkside House,Other,"1740, feltham rd, victoria, bc, V8N 2A3",48.476296399999995,-123.3286197
Parkside Intermediate Care Home,Other,"788, ospika blvd, prince george, bc, V2M 6W5",53.917385,-122.7952
Parktree House,Other,"12229, parktree cres, surrey, bc, V3X 1Z9",49.1161555,-122.8849992
Parkview Place,Other,"707, 3 avenue, enderby, bc, V0E 1V0",50.5466217,-119.1407493
Parkway Medical Clinic,Clinic,"835, langford parkway, victoria, bc, V9B 4V5",48.441396000000005,-123.504347
Parkwood Court,Other,"3000, shelbourne st, victoria, bc, V8R 4M8",48.4441795,-123.3338227
Paskin Home,Other,"761, paskin way, victoria, bc, V8Z 6N4",48.4935158,-123.3925704
Path to Freedom Treatment Centre Ltd.,Other,"19030, 56 ave, surrey, bc, V3S 4N7",49.10420870000001,-122.6955133
Patterson Home,Other,"7882, patterson rd, saanichton, bc, V8M 1L5",48.5967597,-123.4153745
Peace Arch Hospital,Hospital,"15521, russell ave, white rock, bc, V4B 2R4",49.029968,-122.792231
Foothills Medical Centre,Hospital,"1403, 29 st nw, calgary, ab, T2N 2T9",51.0642833,-114.1339478
Peace Portal Seniors Village,Other,"15441, 16 ave, surrey, bc, V4A 8T8",49.031282,-122.7945296
Peace Villa,Other,"8407, 112 ave, fort st john, bc, V1J 0J5",56.25673199999999,-120.81792
Peach City Medical and Urgent Care Clinic,Clinic,"166-2111, main street, penticton, bc, V2A 6W6",49.472813,-119.583878
